Nb  5   6.00   0.7800     0.6400     SP        
Nb  5   7.00   0.8300     0.6900     SP        
Nb  5   8.00   0.8800     0.7400     SP        
Am  2   7.00   1.3500     1.2100     SP        
Am  2   8.00   1.4000     1.2600     SP        
Am  2   9.00   1.4500     1.3100     SP        
Am  3   6.00   1.1150     0.9750     SP        
Am  3   8.00   1.2300     1.0900     SP        
Am  4   6.00   0.9900     0.8500     SP        
Am  4   8.00   1.0900     0.9500     SP        
U   3   6.00   1.1650     1.0250     SP        
U   4   6.00   1.0300     0.8900     SP        
U   4   7.00   1.0900     0.9500     SP        
U   4   8.00   1.1400     1.0000     SP        
U   4   9.00   1.1900     1.0500     SP        
U   4   12.00  1.3100     1.1700     SP        
U   5   6.00   0.9000     0.7600     SP        
U   5   7.00   0.9800     0.8400     SP        
U   6   2.00   0.5900     0.4500     SP        
U   6   4.00   0.6600     0.5200     SP        
U   6   6.00   0.8700     0.7300     SP        
U   6   7.00   0.9500     0.8100     SP        
U   6   8.00   1.0000     0.8600     SP        
Er  3   6.00   1.0300     0.8900     SP        
Er  3   7.00   1.0850     0.9450     SP        
Er  3   8.00   1.1440     1.0040     SP        
Er  3   9.00   1.2020     1.0620     SP        
Cu  1   2.00   0.6000     0.4600     SP        
Cu  1   4.00   0.7400     0.6000     SP        
Cu  1   6.00   0.9100     0.7700     SP        
Cu  2   4.00   0.7100     0.5700     SP        
Cu  2   5.00   0.7900     0.6500     SP        
Cu  2   6.00   0.8700     0.7300     SP        
Cu  -2  6.00   0.0000     1.9984     0.0338326078246
Cu  -2  7.50   0.0000     1.8940     Merged    
Cu  -2  12.00  0.0000     1.5808     Interp    
Cu  -1  6.00   0.0000     1.8296     0.122543827965
Cu  -1  12.00  0.0000     1.9064     Interp    
Mo  3   6.00   0.8300     0.6900     SP        
Mo  4   6.00   0.7900     0.6500     SP        
Mo  5   4.00   0.6000     0.4600     SP        
Mo  5   6.00   0.7500     0.6100     SP        
Mo  6   4.00   0.5500     0.4100     SP        
Mo  6   5.00   0.6400     0.5000     SP        
Mo  6   6.00   0.7300     0.5900     SP        
Mo  6   7.00   0.8700     0.7300     SP        
Sb  3   5.00   0.9400     0.8000     SP        
Sb  3   6.00   0.9000     0.7600     SP        
Sb  5   6.00   0.7400     0.6000     SP        
Gd  3   6.00   1.0780     0.9380     SP        
Gd  3   7.00   1.1400     1.0000     SP        
Gd  3   8.00   1.1930     1.0530     SP        
Gd  3   9.00   1.2470     1.1070     SP        
Po  4   6.00   1.0800     0.9400     SP        
Po  4   8.00   1.2200     1.0800     SP        
Po  6   6.00   0.8100     0.6700     SP        
N   -3  4.00   1.3200     1.4600     SP        
N   3   6.00   0.3000     0.1600     SP        
N   5   3.00   0.0440     -0.1040    SP        
N   5   6.00   0.2700     0.1300     SP        
Ga  3   4.00   0.6100     0.4700     SP        
Ga  3   5.00   0.6900     0.5500     SP        
Ga  3   6.00   0.7600     0.6200     SP        
Ga  -2  7.00   0.0000     2.1394     SP        
Ga  -2  6.00   0.0000     2.1244     SP        
Ga  -2  12.00  0.0000     2.2143     SP        
Fe  3   5.00   0.7200     0.5800     SP        
Fe  4   6.00   0.7250     0.5850     SP        
Fe  6   4.00   0.3900     0.2500     SP        
Zr  4   4.00   0.7300     0.5900     SP        
Zr  4   5.00   0.8000     0.6600     SP        
Zr  4   6.00   0.8600     0.7200     SP        
Zr  4   7.00   0.9200     0.7800     SP        
Zr  4   8.00   0.9800     0.8400     SP        
Zr  4   9.00   1.0300     0.8900     SP        
Br  -1  6.00   1.8200     1.9600     SP        
Br  -1  2.00   0.0000     1.8919     None      
Br  -1  3.00   0.0000     1.9070     0.0261903795533
Br  -1  4.00   0.0000     1.9321     None      
Br  -1  8.00   0.0000     1.9897     0.0296790462962
Br  -1  12.00  0.0000     2.0572     Interp    
Br  7   4.00   0.3900     0.2500     SP        
Br  7   6.00   0.5300     0.3900     SP        
Ce  3   6.00   1.1500     1.0100     SP        
Ce  3   7.00   1.2100     1.0700     SP        
Ce  3   8.00   1.2830     1.1430     SP        
Ce  3   9.00   1.3360     1.1960     SP        
Ce  3   10.00  1.3900     1.2500     SP        
Ce  3   12.00  1.4800     1.3400     SP        
Ce  4   6.00   1.0100     0.8700     SP        
Ce  4   8.00   1.1100     0.9700     SP        
Ce  4   10.00  1.2100     1.0700     SP        
Ce  4   12.00  1.2800     1.1400     SP        
Tm  2   6.00   1.1700     1.0300     SP        
Tm  2   7.00   1.2300     1.0900     SP        
Tm  3   6.00   1.0200     0.8800     SP        
Tm  3   8.00   1.1340     0.9940     SP        
Tm  3   9.00   1.1920     1.0520     SP        
Te  -2  6.00   2.0700     2.2100     SP        
Te  -2  8.00   0.0000     2.2351     0.0385191869572
Te  -2  12.00  0.0000     2.2852     Interp    
Te  4   3.00   0.6600     0.5200     SP        
Te  4   4.00   0.8000     0.6600     SP        
Te  4   6.00   1.1100     0.9700     SP        
Te  6   4.00   0.5700     0.4300     SP        
Te  5   6.00   0.7000     0.5600     SP        
Te  -1  3.50   0.0000     2.2243     Merged    
Te  -1  6.00   0.0000     2.2548     0.0235614533712
Te  -1  12.00  0.0000     2.3279     Interp    
Sc  3   6.00   0.8850     0.7450     SP        
Sc  3   8.00   1.0100     0.8700     SP        
Lu  3   6.00   1.0010     0.8610     SP        
Lu  3   8.00   1.1170     0.9770     SP        
Lu  3   9.00   1.1720     1.0320     SP        
Os  4   6.00   0.7700     0.6300     SP        
Os  5   6.00   0.7150     0.5750     SP        
Os  6   5.00   0.6300     0.4900     SP        
Os  6   6.00   0.6850     0.5450     SP        
Os  7   6.00   0.6650     0.5250     SP        
Os  8   4.00   0.5300     0.3900     SP        
Zn  2   4.00   0.7400     0.6000     SP        
Zn  2   5.00   0.8200     0.6800     SP        
Zn  2   6.00   0.8800     0.7400     SP        
Zn  2   8.00   1.0400     0.9000     SP        
Ba  2   6.00   1.4900     1.3500     SP        
Ba  2   7.00   1.5200     1.3800     SP        
Ba  2   8.00   1.5600     1.4200     SP        
Ba  2   9.00   1.6100     1.4700     SP        
Ba  2   10.00  1.6600     1.5200     SP        
Ba  2   11.00  1.7100     1.5700     SP        
Ba  2   12.00  1.7500     1.6100     SP        
Hf  4   4.00   0.7200     0.5800     SP        
Hf  4   6.00   0.8500     0.7100     SP        
Hf  4   7.00   0.9000     0.7600     SP        
Hf  4   8.00   0.9700     0.8300     SP        
Cs  1   6.00   1.8100     1.6700     SP        
Cs  1   8.00   1.8800     1.7400     SP        
Cs  1   9.00   1.9200     1.7800     SP        
Cs  1   10.00  1.9500     1.8100     SP        
Cs  1   11.00  1.9900     1.8500     SP        
Cs  1   12.00  2.0200     1.8800     SP        
Cs  1   3.00   0.0000     1.5649     SP        
Cr  3   6.00   0.7550     0.6150     SP        
Cr  4   4.00   0.5500     0.4100     SP        
Cr  4   6.00   0.6900     0.5500     SP        
Cr  5   4.00   0.4850     0.3450     SP        
Cr  5   6.00   0.6300     0.4900     SP        
Cr  5   8.00   0.7100     0.5700     SP        
Cr  6   4.00   0.4000     0.2600     SP        
Cr  6   6.00   0.5800     0.4400     SP        
Ru  3   6.00   0.8200     0.6800     SP        
Ru  4   6.00   0.7600     0.6200     SP        
Ru  5   6.00   0.7050     0.5650     SP        
Ru  7   4.00   0.5200     0.3800     SP        
Ru  8   4.00   0.5000     0.3600     SP        
Be  2   3.00   0.3000     0.1600     SP        
Be  2   4.00   0.4100     0.2700     SP        
Be  2   6.00   0.5900     0.4500     SP        
Be  2   8.00   0.0000     0.6443     SP        
Pb  2   6.00   1.3300     1.1900     SP        
Pb  2   7.00   1.3700     1.2300     SP        
Pb  2   8.00   1.4300     1.2900     SP        
Pb  2   9.00   1.4900     1.3500     SP        
Pb  2   10.00  1.5400     1.4000     SP        
Pb  2   11.00  1.5900     1.4500     SP        
Pb  2   12.00  1.6300     1.4900     SP        
Pb  4   4.00   0.7900     0.6500     SP        
Pb  4   5.00   0.8700     0.7300     SP        
Pb  4   6.00   0.9150     0.7750     SP        
Pb  4   8.00   1.0800     0.9400     SP        
Pb  -2  7.50   0.0000     2.3525     SP        
Pb  -2  6.00   0.0000     2.3278     SP        
Pb  -2  12.00  0.0000     2.4266     SP        
K   1   4.00   1.5100     1.3700     SP        
K   1   6.00   1.5200     1.3800     SP        
K   1   7.00   1.6000     1.4600     SP        
K   1   8.00   1.6500     1.5100     SP        
K   1   9.00   1.6900     1.5500     SP        
K   1   10.00  1.7300     1.5900     SP        
K   1   12.00  1.7800     1.6400     SP        
As  3   6.00   0.7200     0.5800     SP        
As  5   4.00   0.4750     0.3350     SP        
As  5   6.00   0.6000     0.4600     SP        
Ag  1   2.00   0.8100     0.6700     SP        
Ag  1   4.00   1.1400     1.0000     SP        
Ag  1   5.00   1.2300     1.0900     SP        
Ag  1   6.00   1.2900     1.1500     SP        
Ag  1   7.00   1.3600     1.2200     SP        
Ag  1   8.00   1.4200     1.2800     SP        
Ag  2   6.00   1.0800     0.9400     SP        
Ag  3   6.00   0.8900     0.7500     SP        
Ag  -1  7.00   0.0000     1.9451     Merged    
Ag  -1  6.00   0.0000     1.9315     Interp    
Ag  -1  12.00  0.0000     2.0131     Interp    
Ag  -2  7.50   0.0000     2.0897     Merged    
